Carrefour Feux tricolores,Mouvement directionnel autorisé,ville,code_postal,Street1_name,Street2_name,Street1_coordinates,Street2_coordinates
"Au droit du Canal du Colovry
avenue du Petit Port","Mouvement direct pour les cycles circulant avenue du Petit Port à l'est du
canal du Colovry, dans les deux sens",Annecy,74000,avenue du Petit,No match found,"(45.9052058, 6.1483496)",
"Intersection de la rue des
Cygnes avec la rue des
Mouettes","Mouvement de tourne à droite pour les cycles circulant rue des Cygnes vers
la rue des Mouettes, dans les deux sens",Annecy,74000,rue des Cygnes,rue des Mouettes,"(45.91016, 6.144853)","(45.911707, 6.1536302)"
"Intersection de la rue des
Cygnes avec la rue des
Mouettes","Mouvement de tourne à droite pour les cycles circulant rue des Mouettes
vers la rue des Cygnes, dans les deux sens",Annecy,74000,rue des Cygnes,rue des Mouettes,"(45.91016, 6.144853)","(45.911707, 6.1536302)"
"Au droit du supermarché
avenue des Carrés","Mouvement de tourne à droite pour les cycles circulant avenue des Carrés
vers le parking du supermarché",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Au droit du supermarché
avenue des Carrés","Mouvement de tourne à droite pour les cycles circulant du parking du
supermarché vers l'avenue des Carrés",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Au droit du supermarché
avenue des Carrés","Mouvement direct pour les cycles circulant avenue des Carrés dans le sens
Ouest/Est",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Intersection de l'avenue des
Carrés avec le clos du Buisson","Mouvement de tourne à droite pour les cycles circulant avenue des Carrés
vers le clos du Buisson",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Intersection de l'avenue des
Carrés avec le clos du Buisson","Mouvement de tourne à droite pour les cycles circulant du clos du Buisson
vers l'avenue des Carrés",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Intersection de l'avenue des
Carrés avec le clos du Buisson","Mouvement direct pour les cycles circulant avenue des Carrés dans les sens
Est/Ouest et Ouest/Est",Annecy,74000,avenue des Carrés,No match found,"(45.9155541, 6.1476277)",
"Intersection de la avenue du
Capitaine Baud avec la rue de
Pommaries et la rue des Haies
Vives","Mouvement de tourne à droite pour les cycles circulant rue des Pommaries
vers l'avenue du Capitaine Baud",Annecy,74000,avenue du Capitaine,rue de Pommaries,"(45.8952983, 6.0892555)","(45.910896, 6.149136)"
"Intersection de la avenue du
Capitaine Baud avec la rue de
Pommaries et la rue des Haies
Vives","Mouvement de tourne à droite pour les cycles circulant avenue du Capitaine
Baud vers la rue des Haies Vives",Annecy,74000,avenue du Capitaine,rue de Pommaries,"(45.8952983, 6.0892555)","(45.910896, 6.149136)"
"Intersection de la avenue du
Capitaine Baud avec la rue de
Pommaries et la rue des Haies
Vives","Mouvement de tourne à droite pour les cycles circulant rue des Haies Vives
vers l'avenue du Capitaine Baud",Annecy,74000,avenue du Capitaine,rue de Pommaries,"(45.8952983, 6.0892555)","(45.910896, 6.149136)"
"Intersection de la avenue du
Capitaine Baud avec la rue de
Pommaries et la rue des Haies
Vives","Mouvement de tourne à droite pour les cycles circulant avenue du Capitaine
Baud vers la rue des Pommaries",Annecy,74000,avenue du Capitaine,rue de Pommaries,"(45.8952983, 6.0892555)","(45.910896, 6.149136)"
"Au droit de l'école maternelle
rue de Lachat","Mouvement de tourne à droite pour les cycles circulant rue de Lachat dans
le sens Sud/Est",Annecy,74000,rue de Lachat,No match found,"(45.9254954, 6.1489622)",
"Au droit de l'école maternelle
rue de Lachat","Mouvement de tourne à droite pour les cycles circulant rue de Lachat dans
le sens Est/Nord",Annecy,74000,rue de Lachat,No match found,"(45.9254954, 6.1489622)",
"Au droit de l'école maternelle
rue de Lachat","Mouvement direct pour les cycles circulant rue de Lachat dans le sens
Nord/Sud",Annecy,74000,rue de Lachat,No match found,"(45.9254954, 6.1489622)",
"Au droit de l'école maternelle
rue de Lachat","Mouvement direct pour les cycles circulant rue de Lachat dans le sens
Sud/Nord",Annecy,74000,rue de Lachat,No match found,"(45.9254954, 6.1489622)",
"Au droit du centre commercial
rue de Lachat","Mouvement de tourne à droite pour les cycles circulant rue de Lachat dans
le sens Nord/Ouest",Annecy,74000,rue de Lachat,No match found,"(45.9254954, 6.1489622)",
